year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
1997,51697,216,409,46,4.2,136
1998,51922,231,451,52,7.6,137
1999,52076,246,491,57,13,134
2000,52161,263,532,62,18,135
2001,52184,280,568,66,12,166
2002,52161,299,579,66,14,159
2003,52115,319,581,64,10,167
2004,52074,340,593,64,0.88,253
2005,52058,363,651,64,1.3,245
2006,52084,388,674,65,0.33,288
2007,52150,413,710,68,0.16,322
2008,52245,441,765,74,1.7,274
2009,52341,471,811,79,1.8,293
2010,52428,502,903,89,0.54,385
2011,52495,536,973,98,0.78,414
2012,52555,572,1079,111,1.4,448
1990,2024163,228,283,19,0.76,65
1991,2081380,232,311,23,3.6,61
1992,2140957,237,341,28,10,53
1993,2202966,241,366,32,11,62
1994,2267433,246,392,36,14,68
1995,2334388,251,417,39,17,71
1996,2403805,256,444,43,18,78
1997,2475726,261,463,46,19,85
1998,2550307,266,489,50,20,91
1999,2627739,272,511,53,22,99
2000,2708095,277,536,57,23,106
2001,2791403,282,559,60,24,113
2002,2877431,288,583,64,25,120
2003,2965667,294,605,67,26,127
2004,3055425,300,628,70,27,134
2005,3146164,305,651,73,28,140
2006,3237713,312,673,76,29,147
2007,3330037,318,693,79,30,153
2008,3422901,324,713,82,31,159
2009,3516077,330,736,85,32,164
2010,3609420,337,756,88,33,170
2011,3702763,344,775,91,34,175
2012,3796141,350,794,93,34,181
1990,1055865,28,55,2.5,2.4,2.6
1991,1068409,27,54,4.6,4.5,4.7
1992,1082877,27,53,1.9,1.8,1.9
1993,1098471,27,52,2.1,2,2.2
1994,1114033,26,51,1.7,1.7,1.8
1995,1128676,26,51,1.1,1.1,1.2
1996,1142191,26,50,0.76,0.73,0.79
1997,1154701,25,49,2.2,2.1,2.3
1998,1166070,25,48,0.81,0.79,0.83
1999,1176227,25,47,1.3,1.2,1.3
2000,1185143,24,46,0.68,0.67,0.7
2001,1192719,24,45,0.74,0.73,0.76
2002,1198972,24,44,0.75,0.74,0.76
2003,1204161,24,44,0.94,0.93,0.96
2004,1208653,23,43,1.2,1.2,1.2
2005,1212752,23,43,1.1,1.1,1.1
2006,1216518,23,43,0.62,0.62,0.63
2007,1219976,22,42,1.1,1.1,1.1
2008,1223336,22,42,1.2,1.2,1.2
2009,1226841,22,41,1.3,1.3,1.3
2010,1230659,22,41,0.94,0.93,0.95
2011,1234910,21,40,1.5,1.5,1.6
2012,1239557,21,39,0.97,0.96,0.98
1990,86077004,67,145,7.8,7.5,8.1
1991,87890094,62,133,6.9,6.5,7.3
1992,89757916,58,121,9,8.4,9.7
1993,91653826,54,110,6.2,5.7,6.6
1994,93541577,50,99,5.8,5.4,6.3
1995,95392647,46,89,5.5,5.2,5.9
1996,97201533,42,79,5.1,4.9,5.4
1997,98968558,39,70,4.6,4.4,4.8
1998,100678867,36,63,4.3,4.2,4.5
1999,102316781,33,56,3.8,3.7,4
2000,103873607,31,51,3.3,3.2,3.5
2001,105339877,28,46,3.3,3.2,3.4
2002,106723661,26,42,3.1,2.9,3.2
2003,108056312,25,39,3.1,2.9,3.2
2004,109381550,23,36,2.4,2.3,2.5
2005,110731826,22,34,2.5,2.4,2.6
2006,112116694,22,33,2.3,2.1,2.4
2007,113529819,22,33,2.1,2,2.2
2008,114968039,22,33,2.2,2.1,2.3
2009,116422752,22,33,2.1,2,2.2
2010,117886404,22,34,2.2,2.1,2.3
2011,119361233,23,34,1.9,1.8,2
2012,120847477,23,33,1.8,1.7,1.9
1990,96331,379,464,36,0,227
1991,98800,367,515,47,0.11,221
1992,101412,356,561,56,18,115
1993,103937,346,594,63,16,141
1994,106057,335,616,68,16,157
1995,107556,325,629,72,18,163
1996,108342,315,627,73,23,151
1997,108506,306,610,71,24,143
1998,108236,297,595,69,21,145
1999,107808,288,577,67,22,137
2000,107430,279,560,65,22,130
2001,107170,271,541,63,20,129
2002,106983,263,518,60,16,131
2003,106816,255,498,57,18,118
2004,106575,247,474,54,15,117
2005,106198,240,446,50,15,104
2006,105686,232,416,45,13,99
2007,105097,226,389,41,7.3,104
2008,104498,219,365,38,3.7,110
2009,103983,212,340,34,3.5,99
2010,103619,206,314,31,1.8,100
2011,103424,200,313,27,1.1,95
2012,103395,194,270,24,0.62,90
1990,29438,3.9,6.4,0.27,0,1.5
1991,29626,0,2.7,0.1,0.03,0.19
1992,29864,3.9,6.2,0.26,0,1.4
1993,30138,3.8,6.1,0.26,0,1.4
1994,30423,3.8,6,0.26,0,1.4
1995,30700,3.7,6,0.26,0,1.4
1996,30971,0,2.5,0.09,0.03,0.19
1997,31242,0,2.4,0.08,0.02,0.18
1998,31517,0,2.2,0.08,0.02,0.18
1999,31795,11,25,1.2,0,8.7
2000,32081,0,1.7,0.06,0.01,0.17
2001,32366,0,1.5,0.05,0,0.16
2002,32653,0,1.2,0.04,0,0.15
2003,32968,0.39,0.72,0.03,0,0.15
2004,33346,0.78,1.3,0.06,0,0.34
2005,33808,1.2,2,0.09,0,0.54
2006,34369,1.6,2.5,0.11,0,0.59
2007,35013,2,3.1,0.13,0,0.7
2008,35686,2.3,3.8,0.16,0,0.87
2009,36314,2.7,4.4,0.19,0,1
2010,36845,3.1,5,0.21,0,1.1
2011,37261,2.1,2.4,0.09,0.01,0.24
2012,37579,2.1,2.7,0.1,0.02,0.24
1990,2184159,405,938,24,18,30
1991,2217937,384,864,23,17,29
1992,2243525,365,798,21,16,28
1993,2263224,347,735,20,15,26
1994,2280519,330,678,19,14,25
1995,2298063,314,625,18,13,24
1996,2316598,299,573,17,12,23
1997,2335723,286,526,16,11,22
1998,2355618,274,484,15,9.9,21
1999,2376197,263,454,14,9,21
2000,2397473,254,431,13,8.1,20
2001,2419669,245,406,12,7.2,19
2002,2443231,238,403,11,6.4,18
2003,2468595,232,373,11,5.8,17
2004,2496248,228,350,10,5.2,17
2005,2526502,225,335,9.4,4.6,16
2006,2559496,222,328,8.9,4.1,15
2007,2595068,222,325,8.5,3.7,15
2008,2632834,222,330,8.1,3.4,15
2009,2672223,224,341,7.8,3.9,13
2010,2712738,224,353,7.5,2.9,14
2011,2754209,223,364,7.4,2.8,14
2012,2796484,223,380,7.2,2.7,14
2005,615820,29,37,0.57,0.52,0.62
2006,616854,31,42,0.91,0.86,0.96
2007,617800,27,34,1.3,1.2,1.4
2008,618649,24,34,0.59,0.53,0.65
2009,619408,21,29,0.19,0.17,0.2
2010,620078,20,28,0.19,0.13,0.25
2011,620644,20,29,0.19,0.13,0.25
2012,621081,18,25,0.19,0.13,0.25
1990,10734,11,20,0,0,0
1991,10763,11,20,0,0,0
1992,10856,0,5.6,9.3,9.3,9.3
1993,10892,0,6.4,0,0,0
1994,10717,0,7.3,0,0,0
1995,10232,4.1,8.2,11,10,11
1996,9375,8.3,9.7,11,11,11
1997,8217,12,16,12,12,12
1998,6936,17,25,32,30,33
1999,5788,40,83,20,18,21
2000,4956,0,11,21,21,22
2001,4505,0,10,23,23,24
2002,4377,0,10,24,23,24
2003,4474,26,50,23,23,24
2004,4645,0,5.7,22,22,23
2005,4777,24,42,22,21,22
2006,4846,0,17,22,21,22
2007,4884,47,96,21,21,21
2008,4901,31,58,21,21,21
2009,4918,16,22,21,21,21
2010,4953,0,9.9,21,21,22
2011,5000,0,4.7,24,24,25
2012,5046,0,,24,24,25
1990,24674974,147,232,25,19,31
1991,25128064,149,235,24,18,30
1992,25569662,150,238,22,17,29
1993,26000345,151,239,21,16,27
1994,26421309,152,240,20,15,26
1995,26833093,152,240,19,14,25
1996,27237150,145,225,18,13,24
1997,27632321,137,203,17,12,24
1998,28013585,132,193,16,11,23
1999,28374203,123,171,16,10,22
2000,28710123,117,161,15,9.7,21
2001,29021156,113,155,14,9,21
2002,29311443,109,150,13,8.3,20
2003,29586937,105,145,13,7.8,19
2004,29855820,103,141,12,7.3,19
2005,30125445,100,137,12,6.8,18
2006,30395097,98,134,11,6.3,18
2007,30667086,98,133,11,5.9,17
2008,30955151,98,134,10,5.5,17
2009,31276564,99,135,10,6,15
2010,31642360,100,138,9.8,4.9,16
2011,32059424,103,143,9.5,4.6,16
2012,32521143,103,140,9.2,4.4,16
1990,13567959,401,863,98,2.6,357
1991,13893546,419,905,103,4.3,352
1992,14350459,436,929,106,5.6,349
1993,14893218,451,945,107,6.6,341
1994,15453464,465,926,105,7.2,330
1995,15981571,478,897,101,6.4,323
1996,16463426,490,863,97,5.7,313
1997,16914628,500,821,92,4.8,303
1998,17350739,506,778,86,3.9,292
1999,17798102,511,740,81,3.1,281
2000,18275618,513,701,75,2.3,270
2001,18785719,514,662,70,1.8,259
2002,19319894,515,630,66,1.5,245
2003,19873460,518,605,62,1.4,233
2004,20438827,520,588,59,1.5,220
2005,21010376,524,576,58,1.7,208
2006,21587317,527,565,56,2.1,196
2007,22171404,531,557,55,2.5,185
2008,22762525,535,552,53,3.1,174
2009,23361025,539,545,52,3.9,162
2010,23967265,544,541,51,3.7,160
2011,24581367,548,544,51,3.6,161
2012,25203395,552,553,53,3.9,163
1990,42123003,393,894,115,39,230
1991,42782387,396,894,117,40,233
1992,43422423,398,890,118,41,235
1993,44052710,400,889,118,41,236
1994,44686091,402,887,118,41,235
1995,45329862,404,881,118,41,234
1996,45991828,406,876,117,41,232
1997,46664455,408,872,116,41,230
1998,47321204,410,864,114,41,226
1999,47925630,411,857,111,40,218
2000,48453000,412,831,106,39,207
2001,48894203,411,794,100,37,194
2002,49261313,410,760,93,35,178
2003,49577152,408,718,84,33,158
2004,49875169,406,677,76,31,141
2005,50181020,403,647,70,29,129
2006,50500070,400,616,65,28,118
2007,50828959,396,589,60,26,108
2008,51174018,393,564,57,26,100
2009,51540490,388,544,53,25,93
2010,51931231,384,525,51,23,89
2011,52350763,381,506,49,23,86
2012,52797319,377,489,48,23,84
1990,1415447,379,751,5.2,4.1,6.4
1991,1466152,373,670,5.4,4.3,6.7
1992,1513689,380,613,5.7,4.5,7.1
1993,1559480,416,619,6.4,5.1,7.9
1994,1605828,474,659,7.3,5.8,9.1
1995,1654214,575,770,8.8,6.9,11
1996,1705309,771,1011,11,8.6,14
1997,1757969,916,1115,14,11,17
1998,1809719,1087,1233,17,13,21
1999,1857149,1262,1350,21,16,26
2000,1897953,1407,1429,24,19,31
2001,1931282,1663,1642,28,21,35
2002,1958303,1808,1735,29,23,37
2003,1981237,1826,1690,29,23,37
2004,2003320,1720,1513,28,21,35
2005,2027026,1392,1157,23,17,28
2006,2052931,1231,1037,20,16,25
2007,2080700,1134,1019,18,15,23
2008,2110791,1154,1093,17,14,21
2009,2143498,989,953,17,13,20
2010,2178967,867,834,15,12,19
2011,2217618,723,699,14,11,18
2012,2259393,655,688,14,11,18
1990,9157,88,111,9.1,5,14
1991,9354,75,96,7.9,4.3,12
1992,9544,64,83,6.9,3.8,11
1993,9719,55,72,6,3.3,9.6
1994,9863,47,62,5.3,2.9,8.4
1995,9970,40,54,4.7,2.5,7.5
1996,10033,35,46,4,2.2,6.3
1997,10056,30,39,3.1,1.7,5
1998,10054,26,30,2.1,1.1,3.4
1999,10044,23,30,2,1.1,3.1
2000,10042,46,72,7.2,3.5,12
2001,10053,34,39,2.6,1.3,4.4
2002,10072,57,79,7,3.7,11
2003,10096,34,65,4.4,3,6
2004,10112,65,74,5,2.5,8.3
2005,10115,125,216,23,10,41
2006,10104,137,247,27,12,49
2007,10083,34,71,4.8,3.4,6.4
2008,10058,57,68,4.6,2.4,7.4
2009,10037,46,62,4.2,2.4,6.4
2010,10025,34,55,3.7,2.3,5.4
2011,10024,57,86,8.1,4.1,14
2012,10032,54,91,9.5,4.4,17
1990,18111200,163,364,41,12,88
1991,18569445,163,348,39,12,81
1992,19050879,163,335,36,12,74
1993,19551500,163,320,34,12,67
1994,20065413,163,307,32,12,60
1995,20587157,163,295,29,12,54
1996,21115271,163,283,27,12,50
1997,21647305,163,270,25,11,46
1998,22175431,163,262,24,10,42
1999,22690158,163,254,22,9.8,40
2000,23184177,163,248,21,9.4,38
2001,23655119,163,245,21,9,37
2002,24102862,163,240,20,8.8,36
2003,24525527,163,237,20,8.6,36
2004,24921910,163,235,20,8.5,35
2005,25292058,163,235,20,8.4,35
2006,25634043,163,234,19,8.4,35
2007,25950022,163,234,20,8.4,35
2008,26249412,163,234,20,8.4,35
2009,26544943,163,235,20,8.6,35
2010,26846016,163,238,20,8.8,35
2011,27156367,163,236,20,8.8,35
2012,27474377,163,241,20,9,36
1990,188234,5.3,6.7,0.59,0.56,0.62
1991,190108,5.3,6.7,0.57,0.55,0.59
1992,192220,5.3,6.8,0.57,0.54,0.6
1993,194054,5.3,6.9,0.56,0.54,0.58
1994,194909,5.3,7,0.55,0.53,0.57
1995,194332,5.3,7.2,0.57,0.54,0.6
1996,192128,3,4.5,0.54,0.53,0.55
1997,188609,8.5,16,0.55,0.54,0.56
1998,184455,4.4,5.3,0.57,0.56,0.58
1999,180623,2.5,4.5,0.58,0.57,0.6
2000,177838,3.2,5,0.59,0.58,0.61
2001,176280,5.9,7.6,0.59,0.57,0.61
2002,175823,9.8,17,0.59,0.57,0.61
2003,176517,5.9,7.2,0.59,0.57,0.61
2004,178328,7.1,10,0.59,0.57,0.61
2005,181195,4.7,5.6,0.59,0.57,0.61
2006,185182,3.1,5.4,0.59,0.57,0.61
2007,190229,5.3,6.7,0.59,0.57,0.61
2008,195970,5.3,7.2,0.59,0.57,0.61
2009,201921,5.3,7.7,0.59,0.57,0.61
1990,14890341,11,15,0.23,0.22,0.23
1991,14993190,10,13,0.23,0.22,0.23
1992,15101062,11,15,0.23,0.22,0.23
1993,15210799,12,17,0.35,0.34,0.36
1994,15318124,14,21,0.31,0.3,0.31
1995,15420000,12,17,0.29,0.28,0.29
1996,15514794,12,18,0.22,0.22,0.23
1997,15603344,11,15,0.25,0.25,0.26
1998,15688091,9.8,12,0.19,0.19,0.2
1999,15772758,10,14,0.28,0.27,0.29
2000,15859863,9,11,0.21,0.21,0.22
2001,15950214,10,14,0.29,0.28,0.3
2002,16042368,9.7,14,0.26,0.26,0.27
2003,16133907,9.3,13,0.21,0.2,0.21
2004,16221364,9.3,14,0.22,0.21,0.22
2005,16302242,8,10,0.2,0.2,0.21
2006,16375813,7,8.6,0.19,0.19,0.19
2007,16442848,6.5,7.7,0.13,0.13,0.13
2008,16504193,6.7,8.5,0.15,0.15,0.16
2009,16561282,7.9,12,0.23,0.23,0.24
2010,16615243,7.2,10,0.19,0.19,0.2
2011,16666206,6.8,9.2,0.11,0.11,0.12
2012,16714018,6.3,8.2,0.17,0.17,0.17
1990,168537,98,123,4.7,0.4,14
1991,172278,93,124,4.9,0.17,17
1992,176318,91,129,5.2,0.05,22
1993,180569,66,75,2.7,0.71,6
1994,184903,60,69,2.5,0.64,5.5
1995,189220,53,59,2.1,0.56,4.6
1996,193493,62,85,3.4,0.05,14
1997,197726,51,64,2.4,0.26,6.9
1998,201899,51,68,2.7,0.09,9.6
1999,205997,44,54,2,0.23,5.8
2000,210010,51,79,3.3,0,16
2001,213919,33,37,1.3,0.35,2.9
2002,217720,34,46,1.8,0.06,6.2
2003,221432,20,28,0.99,0.38,1.9
2004,225088,31,46,1.9,0.01,8.7
2005,228714,24,29,1.1,0.13,3.1
2006,232317,25,33,1.3,0.04,4.7
2007,235889,23,29,1.1,0.07,3.6
2008,239429,24,33,1.3,0.02,5.2
2009,242926,26,37,1.5,0.01,6.9
2010,246379,23,31,1.2,0.03,4.5
2011,249786,24,33,1.3,0.02,5.5
2012,253155,17,21,0.74,0.23,1.6
1990,3397983,12,17,0.55,0.54,0.55
1991,3446005,11,16,0.65,0.64,0.65
1992,3503125,10,14,0.47,0.46,0.47
1993,3564531,8.8,11,0.31,0.31,0.32
1994,3623421,11,16,0.48,0.48,0.49
1995,3675060,12,18,0.58,0.57,0.58
1996,3717342,11,15,0.36,0.35,0.37
1997,3752131,9.8,12,0.25,0.24,0.26
1998,3783470,11,15,0.49,0.48,0.49
1999,3817367,13,21,0.29,0.29,0.29
2000,3858032,10,13,0.32,0.31,0.32
2001,3906817,11,15,0.13,0.13,0.13
2002,3961937,9.5,12,0.2,0.2,0.2
2003,4020706,12,19,0.25,0.25,0.25
2004,4079075,10,15,0.32,0.32,0.32
2005,4134117,9.2,12,0.15,0.15,0.15
2006,4185020,9.5,13,0.25,0.25,0.25
2007,4232734,7.4,9,0.16,0.16,0.16
2008,4278186,7.8,10,0.16,0.16,0.16
2009,4322941,7.9,11,0.16,0.16,0.16
2010,4368136,7.9,11,0.12,0.12,0.12
2011,4413923,7.9,11,0.1,0.1,0.1
2012,4459852,7.6,10,0.08,0.08,0.08
1990,4137788,108,183,11,6.4,16
1991,4237154,103,172,16,9.1,25
1992,4342319,98,162,9.4,5.6,14
1993,4450371,94,153,9.9,6.2,15
1994,4557125,89,144,9.2,5.7,14
1995,4659458,85,137,8.9,5.6,13
1996,4756631,81,130,8.5,5.6,12
1997,4849272,78,123,8.3,5.7,11
1998,4937320,74,117,7.4,5.3,9.8
1999,5021079,71,112,8.6,6.1,12
2000,5100920,68,108,6.4,4.5,8.7
2001,5176685,64,104,6.2,4.4,8.3
2002,5248577,62,99,5,3.6,6.6
2003,5317878,59,95,5.8,4.3,7.6
2004,5386299,56,90,5.3,3.9,6.9
2005,5455219,53,85,5.4,4.1,6.9
2006,5524927,51,78,4.3,3.2,5.6
2007,5595533,49,72,4.1,3.1,5.2
2008,5667983,46,65,3.3,2.5,4.2
2009,5743329,44,58,3.3,2.5,4.2
2010,5822209,42,50,4.5,3.5,5.6
2011,5905146,40,53,3.3,2.6,4.1
2012,5991733,38,55,3.1,2.4,3.8
1990,7753907,358,839,99,37,191
1991,8004058,352,825,99,37,190
1992,8270248,331,774,93,35,179
1993,8552812,310,722,87,32,168
1994,8851763,286,660,79,30,153
1995,9167078,270,620,74,28,143
1996,9499605,253,570,68,26,131
1997,9849621,236,521,62,23,118
1998,10215806,218,471,55,21,105
1999,10596258,204,432,50,19,95
2000,10989815,191,396,46,18,86
2001,11396434,178,361,41,16,78
2002,11817297,168,334,38,15,71
2003,12254040,159,307,34,14,64
2004,12708897,150,283,31,13,57
2005,13183798,142,261,28,12,51
2006,13679705,136,243,26,11,47
2007,14197289,129,226,23,9.9,42
2008,14737895,123,211,21,9.2,38
2009,15302948,119,199,20,8.6,36
2010,15893746,113,187,18,8,33
2011,16511462,108,176,17,7.4,30
2012,17157042,104,166,16,6.8,30
1990,95617350,128,302,35,0.02,183
1991,98085373,129,304,36,0.05,176
1992,100592242,130,305,36,0.09,170
1993,103144749,132,306,37,0.17,163
1994,105752796,135,312,37,0.21,161
1995,108424827,139,311,37,0.23,161
1996,111166210,143,311,37,0.24,160
1997,113979481,149,312,37,0.19,164
1998,116867371,157,319,38,0.15,170
1999,119831888,165,327,38,0.11,177
2000,122876727,172,326,38,0.06,185
2001,126004992,178,334,38,0.06,187
2002,129224641,182,327,38,0.04,190
2003,132550146,182,322,37,0.04,183
2004,135999250,180,314,35,0.04,174
2005,139585891,175,298,33,0.06,159
2006,143314909,168,280,31,0.11,140
2007,147187353,158,261,28,0.29,115
2008,151208080,145,233,25,0.94,86
2009,155381020,130,206,21,3.7,53
2010,159707780,133,210,22,2,64
2011,164192925,118,181,18,1.2,57
2012,168833776,108,161,16,0.92,51
1990,2332,0,43,2.9,2.8,3
1991,2291,51,69,6,3.2,9.7
1992,2259,102,194,22,9.2,40
1993,2232,52,68,5.9,3.2,9.4
1994,2203,104,202,23,9.6,42
1995,2167,0,45,3,3,3.1
1996,2122,108,219,26,10,47
1997,2069,0,35,2.3,2.3,2.4
1998,2010,0,31,2.1,2.1,2.2
1999,1952,59,100,11,4.8,19
2000,1900,0,47,3.1,3.1,3.2
2001,1852,0,51,3.4,3.4,3.5
2002,1809,254,575,71,27,135
2003,1768,0,42,2.8,2.8,2.9
2004,1728,0,35,2.4,2.3,2.4
2005,1686,0,26,1.7,1.7,1.8
2006,1643,0,15,1,0.96,1.1
2007,1600,0,10,0.68,0.62,0.74
2008,1555,0,11,0.73,0.67,0.79
2009,1511,0,14,0.93,0.87,0.99
2010,1468,0,20,1.4,1.3,1.4
2011,1426,81,170,19,4.7,42
2012,1384,37,46,3.1,1.7,4.9
1990,43972,73,86,3.1,0.91,6.5
1991,46719,107,143,5.7,0.15,21
1992,49429,156,255,11,0,60
1993,52120,123,162,6.3,0.24,22
1994,54817,97,119,4.2,1.4,8.7
1995,57518,96,123,4.4,1.5,8.8
1996,60248,97,125,4.4,1.5,9
1997,62939,170,264,11,0.01,56
1998,65374,171,268,11,0.01,58
1999,67271,113,130,4.7,1.2,11
2000,68434,126,172,6.9,0.13,26
2001,68817,97,109,3.9,1,8.6
2002,68499,89,98,3.5,0.92,7.7
2003,67562,77,98,3.2,0.9,6.9
2004,66143,92,123,4.8,0.15,17
2005,64372,102,163,6.3,0.02,30
2006,62235,94,146,5.6,0.03,25
2007,59792,85,125,4.6,0.08,18
2008,57345,56,78,2.6,0.79,5.4
2009,55278,79,117,4.3,0.07,17
2010,53860,68,91,3.2,0.37,8.9
2011,53230,71,101,3.6,0.15,13
2012,53305,69,97,3.5,0.17,12
1990,4240375,7.7,10,0.6,0.59,0.62
1991,4262367,7.8,11,0.41,0.4,0.42
1992,4285504,7.7,11,0.24,0.24,0.24
1993,4309606,6.8,9.6,0.43,0.42,0.44
1994,4334434,6.4,8.9,0.41,0.4,0.42
1995,4359788,6.2,8.8,0.44,0.43,0.45
1996,4385951,5.7,7.7,0.31,0.3,0.31
1997,4412958,5.3,6.9,0.32,0.32,0.33
1998,4440109,6.3,9.5,0.3,0.29,0.31
1999,4466468,5.5,7.1,0.21,0.2,0.21
2000,4491572,5.7,7.1,0.23,0.22,0.23
2001,4514723,7,10,0.36,0.35,0.37
2002,4536647,6.2,7.8,0.18,0.17,0.18
2003,4560013,8.4,13,0.24,0.24,0.25
2004,4588444,7.1,9.8,0.16,0.15,0.16
2005,4624388,6.9,9,0.21,0.21,0.22
2006,4668989,6.8,8.9,0.13,0.13,0.13
2007,4721080,6.9,9,0.06,0.06,0.07
2008,4777943,7.1,9.5,0.09,0.08,0.09
2009,4835629,8.6,13,0.17,0.17,0.18
2010,4891251,7,9.1,0.21,0.2,0.21
2011,4943754,7.5,10,0.12,0.12,0.13
2012,4993875,7.5,10,0.14,0.14,0.14
1990,1810103,31,44,3.2,0.14,11
1991,1885036,27,39,3,0.09,11
1992,1965586,21,29,2.8,0.06,11
1993,2043912,16,21,2.6,0.03,11
1994,2109246,17,21,2.5,0.02,11
1995,2154600,15,18,2.3,0.01,10
1996,2175998,16,22,2.2,0,10
1997,2177723,16,22,2.1,0,10
1998,2171135,15,21,2,0,10
1999,2172287,13,16,1.9,0,10
2000,2192535,17,26,1.8,0,10
2001,2239025,15,22,1.8,0,10
2002,2308409,14,20,1.7,0,10
2003,2389121,12,15,1.6,0,10
2004,2464001,14,19,1.5,0,10
2005,2522325,12,14,1.4,0,10
2006,2554905,15,23,1.3,0,9.9
2007,2569739,15,21,1.2,0,9.8
2008,2593523,16,23,1.1,0,9.7
2009,2663224,14,20,1.1,0,8
2010,2802768,13,16,1,0,9.4
2011,3024774,13,17,0.97,0,9.2
2012,3314001,13,18,0.92,0,9
1990,111090879,231,589,72,22,152
1991,114229172,231,590,72,23,149
1992,117291344,231,588,72,23,146
1993,120336722,231,587,71,24,144
1994,123450933,231,585,71,25,141
1995,126689577,231,584,71,25,139
1996,130083700,231,582,70,25,138
1997,133597492,231,578,70,25,137
1998,137139290,231,574,69,25,136
1999,140580398,231,574,69,25,135
2000,143832014,231,573,69,25,135
2001,146857081,231,566,68,25,132
2002,149693684,231,551,65,24,126
2003,152419974,231,531,61,23,119
2004,155151394,231,508,58,22,110
2005,157971415,231,483,53,21,101
2006,160905794,231,456,48,19,90
2007,163928329,231,435,44,18,82
2008,167008083,231,417,42,17,76
2009,170093999,231,402,39,17,70
2010,173149306,231,389,37,16,66
2011,176166353,231,381,35,15,63
2012,179160111,231,376,34,15,61
1990,15089,45,50,3.4,1,7.1
1991,15471,52,75,5,2.1,9.2
1992,15894,34,96,6.5,4.4,9
1993,16345,204,367,40,16,74
1994,16805,325,653,76,29,145
1995,17255,147,197,17,7.3,31
1996,17695,38,135,9.1,6.7,12
1997,18123,110,131,8.8,2.9,18
1998,18524,158,237,23,9.8,41
1999,18878,226,418,46,19,87
2000,19174,156,256,26,11,48
2001,19404,108,147,13,5.5,23
2002,19575,75,83,5.5,1.6,12
2003,19700,61,73,5.5,2,11
2004,19805,34,54,3.4,0.71,8.1
2005,19907,67,110,10,3.8,20
2006,20012,80,137,13,4.9,25
2007,20118,73,106,10,4.3,18
2008,20228,95,161,17,7,31
2009,20344,125,244,26,10,49
2010,20470,116,221,23,9,43
2011,20606,73,100,8.8,3.8,16
2012,20754,24,65,4.4,2.9,6.2
1990,2486776,47,77,8.1,5.2,12
1991,2539140,47,72,8,5.4,11
1992,2592117,47,68,7.8,5.5,10
1993,2645922,47,64,7.7,5.6,10
1994,2700823,47,60,7.5,5.7,9.6
1995,2757004,47,57,7.4,5.8,9.2
1996,2814525,47,55,7.7,6.2,9.4
1997,2873288,47,52,6.3,5.2,7.5
1998,2933100,47,51,7.6,6.3,9
1999,2993685,47,51,7.7,6.7,8.7
2000,3054812,47,52,6.6,5.9,7.4
2001,3116409,47,52,6.2,5.5,7
2002,3178450,47,52,5.9,5.2,6.6
2003,3240805,47,53,6.6,5.9,7.4
2004,3303335,47,53,5.5,4.9,6
2005,3365929,47,53,6.6,6.3,6.9
2006,3428509,47,52,5.1,4.7,5.5
2007,3491034,47,52,5.2,5,5.4
2008,3553480,47,54,5.8,5.6,6
2009,3615846,48,56,6.5,6.3,6.8
2010,3678128,48,59,5.2,5.1,5.4
2011,3740282,48,61,5.1,5,5.2
2012,3802281,48,64,4.9,4.8,5
1990,4157903,308,715,82,28,165
1991,4261797,310,693,78,27,156
1992,4369087,310,667,74,26,147
1993,4480243,310,638,69,24,136
1994,4595761,314,625,65,23,130
1995,4715929,322,620,63,22,125
1996,4841020,326,608,60,21,120
1997,4970823,334,601,58,20,116
1998,5104516,338,591,56,19,112
1999,5240941,344,590,54,18,109
2000,5379226,349,586,52,17,107
2001,5518971,352,578,52,17,107
2002,5660267,354,576,53,17,108
2003,5803302,354,589,53,17,109
2004,5948461,355,595,54,18,110
2005,6095959,358,607,55,18,112
2006,6245797,357,605,55,18,113
2007,6397623,354,600,55,18,112
2008,6550877,333,544,52,16,107
2009,6704829,351,579,54,18,111
2010,6858945,348,568,54,18,110
2011,7012977,346,549,53,17,109
2012,7167010,348,541,54,18,109
1990,4249747,66,98,4.6,3.5,5.9
1991,4360358,63,94,3.6,2.8,4.6
1992,4470934,60,89,3.7,2.8,4.7
1993,4581390,57,85,3.8,2.9,4.7
1994,4691695,54,81,3.8,3,4.8
1995,4801834,52,78,4.8,3.6,6.1
1996,4911701,51,76,5.3,4.1,6.5
1997,5021271,50,74,5.8,4.1,7.9
1998,5130723,49,73,4.7,3.4,6.3
1999,5240321,49,72,5.2,3.7,6.9
2000,5350253,49,72,4.3,3.1,5.8
2001,5460621,49,72,3.9,2.8,5.1
2002,5571371,49,71,3.8,2.7,5.2
2003,5682350,49,71,4.1,2.9,5.5
2004,5793330,49,71,4.7,3.6,5.9
2005,5904170,49,70,4.7,3.7,5.9
2006,6014781,49,70,3.9,3.1,4.7
2007,6125285,48,69,3,2.4,3.7
2008,6236005,48,68,3.6,2.9,4.4
2009,6347383,47,67,2.9,2.4,3.5
2010,6459721,46,65,3,2.5,3.6
2011,6573097,45,64,3,2.5,3.6
2012,6687361,45,63,3,2.5,3.6
1990,21772035,317,554,34,11,70
1991,22213359,301,503,29,8.4,61
1992,22649612,285,458,30,13,53
1993,23081735,270,417,28,12,51
1994,23511358,255,385,26,11,48
