year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
1994,275820,33,34,4.1,4,4.1
1995,280050,23,23,4.3,4.3,4.3
1996,283678,24,23,3.2,3,3.4
1997,286845,35,37,1.4,1.4,1.5
1998,289926,30,29,6.6,6.5,6.6
1999,293442,30,30,3.1,2.9,3.3
2000,297759,32,34,2.2,2.1,2.3
2001,303005,23,22,1.4,1.3,1.4
2002,309039,16,17,1.4,1.3,1.4
2003,315624,14,15,1.1,1,1.1
2004,322400,19,20,2.1,2,2.2
2005,329088,17,17,1.1,1.1,1.1
2006,335622,21,24,0.61,0.6,0.61
2007,342049,15,16,0.88,0.87,0.89
2008,348340,16,18,1.1,1.1,1.1
2009,354492,15,16,0.6,0.58,0.62
2010,360498,9.9,10,0.51,0.49,0.53
2011,366331,13,16,0.43,0.42,0.45
2012,371960,9.9,11,0.37,0.36,0.38
1990,495944,27,33,7,6.5,7.4
1991,509645,32,46,6.1,5.7,6.5
1992,522751,31,49,5.3,4.9,5.7
1993,535711,24,38,4.6,4.3,5
1994,549170,15,16,4,3.7,4.4
1995,563730,8.8,14,3.5,3.2,3.8
1996,579697,9.7,14,3.1,2.8,3.4
1997,597400,8.7,15,1.1,0.93,1.2
1998,617537,15,17,2.1,1.8,2.5
1999,640913,26,39,2.3,1.8,2.8
2000,668239,36,56,2.5,2.2,3
2001,698749,31,39,1.8,1.5,2.1
2002,732541,30,34,1.5,1.4,1.7
2003,772058,39,54,0.29,0.27,0.31
2004,820505,34,45,1.1,1,1.2
2005,879534,37,48,0.85,0.78,0.93
2006,950951,34,42,0.39,0.35,0.42
2007,1032353,33,44,0.76,0.71,0.82
2008,1116038,31,42,0.57,0.52,0.63
2009,1191539,31,46,0.61,0.54,0.68
2010,1251513,23,27,0.44,0.38,0.51
2011,1292764,20,25,0.39,0.32,0.46
2012,1317827,20,29,0.34,0.28,0.41
1990,107385847,225,525,61,18,130
1991,109934590,225,528,61,19,127
1992,112430968,225,525,61,20,125
1993,114897543,225,523,61,21,122
1994,117369492,225,520,61,22,119
1995,119869585,225,518,60,22,116
1996,122400896,225,516,60,22,115
1997,124945315,225,513,59,22,114
1998,127478524,225,510,58,22,112
1999,129966823,225,507,58,22,112
2000,132383265,225,507,58,22,111
